Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Exam_Score
23,84,No,7,73,67
19,64,No,8,59,61
24,98,Yes,7,91,74
29,89,Yes,8,98,71
19,92,Yes,6,65,70
19,88,Yes,8,89,71
29,84,Yes,7,68,67
25,78,Yes,6,50,66
17,94,No,6,80,69
23,98,Yes,8,71,72
17,80,No,8,88,68
17,97,Yes,6,87,71
21,83,Yes,8,97,70
9,82,Yes,8,72,66
10,78,Yes,8,74,65
17,68,No,8,70,64
14,60,Yes,10,65,60
22,70,Yes,6,82,65
15,80,Yes,9,91,67
12,75,Yes,7,58,66
29,78,No,5,99,69
19,99,No,6,84,72
20,74,No,8,89,66
11,78,Yes,8,100,66
17,65,Yes,5,75,63
21,62,Yes,6,54,64
13,91,No,6,90,65
22,83,Yes,6,94,71
16,90,No,4,58,66
18,66,No,4,51,64
16,83,No,6,57,63
31,70,Yes,7,66,69
20,69,Yes,8,96,67
14,60,No,5,50,61
25,65,No,5,90,68
13,72,No,6,93,61
21,65,Yes,7,91,64
8,99,No,9,54,67
12,72,Yes,8,84,63
21,65,Yes,6,98,64
24,68,No,8,56,67
21,84,Yes,6,52,65
19,63,No,7,94,64
18,94,Yes,7,82,70
11,98,Yes,9,82,68
16,70,Yes,8,98,65
17,78,Yes,6,88,68
26,61,Yes,6,70,64
22,86,Yes,7,72,68
9,77,No,5,57,63
22,71,Yes,7,65,64
18,68,No,7,72,64
16,86,Yes,8,63,67
24,77,No,8,96,67
26,67,Yes,7,51,66
26,88,Yes,5,79,72
15,83,No,5,89,65
18,94,Yes,6,87,71
22,65,No,8,82,66
26,91,Yes,8,71,68
17,87,No,7,96,70
19,65,Yes,10,66,62
13,88,Yes,9,88,68
13,78,Yes,9,96,67
25,98,Yes,8,56,71
28,66,Yes,8,97,68
20,86,Yes,8,89,69
26,75,Yes,4,81,70
22,98,No,5,69,69
16,73,No,7,95,65
22,98,Yes,7,52,70
29,96,Yes,7,72,71
20,71,Yes,7,88,65
29,92,No,4,91,72
4,100,Yes,8,60,69
25,70,No,7,52,66
21,77,Yes,7,90,68
18,81,Yes,8,71,65
21,72,Yes,5,57,64
8,61,Yes,7,54,60
19,69,Yes,7,82,65
22,71,No,6,79,66
29,78,Yes,4,93,74
17,67,Yes,5,52,62
15,95,No,7,93,70
17,88,Yes,7,94,69
25,63,Yes,7,72,67
22,86,No,6,54,64
17,86,No,5,97,71
23,98,Yes,7,54,68
21,60,No,7,80,64
26,70,Yes,8,75,63
16,97,Yes,6,92,71
18,97,Yes,4,75,69
18,89,Yes,4,73,100
11,91,No,6,94,68
22,64,No,7,98,62
22,81,Yes,7,77,68
20,69,Yes,6,73,66
19,67,No,5,92,64
12,92,No,4,92,67
17,65,Yes,8,66,65
18,79,Yes,7,79,65
15,98,No,6,58,69
19,67,No,5,82,63
22,99,Yes,6,92,72
31,100,No,7,59,76
21,82,Yes,7,66,69
22,67,Yes,7,72,67
20,73,Yes,9,92,69
8,77,Yes,6,87,63
20,72,No,9,66,67
20,71,Yes,7,62,66
35,99,Yes,7,85,79
19,66,No,8,74,64
22,89,Yes,6,80,73
20,60,No,7,82,63
13,84,No,5,78,65
27,97,Yes,8,81,73
25,72,Yes,8,94,70
25,67,No,9,93,68
15,86,Yes,7,57,65
28,89,Yes,9,79,71
12,88,No,6,72,64
24,73,Yes,8,64,68
33,70,Yes,6,82,69
14,98,No,7,76,69
17,97,No,8,89,69
21,78,Yes,10,55,67
17,94,Yes,8,65,68
11,78,Yes,8,51,64
20,77,No,6,87,66
14,66,No,7,96,63
23,77,Yes,7,79,66
14,81,No,9,81,66
29,61,Yes,7,52,67
15,78,No,9,75,65
18,91,Yes,5,76,68
25,87,No,9,52,68
13,85,No,6,89,65
21,96,No,8,64,71
28,61,No,6,86,65
10,82,No,8,70,64
21,91,No,6,100,72
22,82,No,9,61,65
25,73,No,8,53,66
13,65,No,6,99,61
12,96,Yes,8,62,68
23,79,Yes,8,82,69
22,95,Yes,6,69,72
22,83,Yes,5,82,71
22,87,No,5,80,70
16,92,Yes,5,85,68
21,86,Yes,5,51,67
22,76,Yes,8,92,68
16,81,Yes,8,74,68
31,92,Yes,4,76,72
23,75,No,6,71,65
13,76,No,5,99,66
24,64,Yes,8,90,65
14,97,Yes,6,66,67
25,64,No,5,89,66
27,86,No,7,72,69
15,77,Yes,8,94,66
26,76,Yes,6,52,69
22,87,Yes,7,68,67
25,63,Yes,6,71,66
31,84,Yes,9,87,71
19,91,No,6,59,70
15,93,No,6,64,71
15,67,Yes,7,86,66
15,96,No,7,54,67
20,86,No,8,60,66
22,95,No,9,88,72
22,79,No,9,94,68
25,82,No,6,86,69
20,97,Yes,7,76,71
29,96,Yes,9,55,70
18,78,No,9,91,67
36,71,Yes,6,56,69
24,76,No,8,69,65
15,76,No,8,53,65
14,71,Yes,8,85,64
23,71,Yes,9,75,63
19,94,Yes,5,95,69
24,63,Yes,6,57,64
23,87,Yes,8,91,72
20,67,Yes,7,76,63
15,74,Yes,4,68,64
11,62,Yes,5,82,64
17,71,Yes,8,90,67
25,91,No,8,72,71
21,95,No,5,62,70
13,69,Yes,9,96,61
21,79,Yes,7,66,67
22,79,No,5,100,72
15,95,Yes,6,88,66
21,91,Yes,5,84,70
20,81,Yes,6,51,67
13,87,Yes,4,72,67
22,94,Yes,7,75,71
23,60,Yes,8,69,66
26,76,Yes,5,57,68
26,96,Yes,7,68,74
12,90,Yes,6,54,64
14,82,No,8,65,65
23,81,Yes,4,54,66
23,74,Yes,8,88,66
23,81,No,4,84,68
43,86,Yes,7,97,78
23,77,Yes,6,69,67
27,89,Yes,6,89,74
26,94,No,5,79,74
24,66,No,9,82,62
18,78,Yes,5,77,66
25,76,Yes,5,89,69
15,87,Yes,10,52,68
19,70,No,7,54,89
17,86,No,5,55,66
20,95,Yes,7,64,68
34,77,Yes,7,80,69
9,96,Yes,4,82,67
24,100,Yes,6,86,75
10,64,No,7,64,60
17,69,Yes,9,83,66
27,98,Yes,7,56,73
20,98,No,7,50,68
14,64,Yes,6,85,62
16,61,No,9,86,62
24,66,Yes,8,81,65
16,100,Yes,8,63,69
21,67,No,7,96,64
20,80,No,5,94,67
16,94,Yes,9,76,70
33,61,No,7,99,70
24,84,No,7,65,69
8,71,No,8,75,61
21,94,No,7,96,69
16,71,Yes,5,73,63
25,87,Yes,7,74,67
15,87,No,4,54,65
19,69,Yes,7,61,66
23,61,No,9,58,63
25,76,Yes,4,78,68
13,72,No,7,66,65
18,92,Yes,8,54,67
17,92,Yes,8,75,68
16,78,No,6,83,64
31,84,No,5,87,71
22,84,Yes,6,92,69
12,93,Yes,9,74,67
26,77,No,4,70,65
33,71,No,5,84,68
26,71,Yes,6,51,67
11,81,Yes,6,82,67
17,78,Yes,7,70,66
28,78,No,9,73,70
16,64,Yes,5,65,65
23,89,Yes,7,56,69
25,69,Yes,7,70,65
14,68,No,6,65,63
20,77,No,5,98,67
1,69,Yes,6,97,61
14,83,Yes,6,82,65
18,75,Yes,8,95,66
13,78,Yes,8,88,66
30,81,Yes,5,67,69
11,68,No,6,80,63
17,66,No,6,61,65
21,95,No,10,84,67
29,77,Yes,7,52,69
11,76,Yes,5,92,65
27,61,No,6,79,65
20,80,Yes,6,53,65
14,82,Yes,8,94,67
23,82,Yes,8,94,66
21,88,No,7,93,72
16,67,No,7,89,66
20,70,Yes,7,84,65
18,92,Yes,7,70,69
21,98,No,4,57,68
24,65,No,7,64,64
30,80,No,6,67,69
13,69,Yes,5,68,59
33,62,Yes,10,78,68
8,73,No,7,60,60
19,66,No,7,59,62
24,88,Yes,6,86,67
22,81,Yes,8,50,68
16,66,Yes,5,57,64
19,60,Yes,7,72,65
17,92,Yes,6,57,65
16,67,No,8,98,63
25,84,Yes,6,84,70
22,73,Yes,9,72,66
16,83,Yes,7,56,68
25,73,No,8,69,66
22,63,No,8,83,63
25,69,Yes,9,98,66
24,68,Yes,6,74,65
15,77,Yes,8,85,66
17,86,Yes,4,60,67
24,71,Yes,7,81,66
24,60,No,6,62,63
20,81,Yes,5,60,66
21,84,No,6,75,67
28,99,Yes,6,61,71
16,84,Yes,7,86,67
23,79,Yes,6,97,69
19,83,Yes,7,70,67
19,97,Yes,6,66,72
27,93,No,6,59,70
25,73,Yes,7,70,67
25,69,Yes,7,78,64
28,71,No,8,69,67
20,80,No,8,81,69
24,90,No,7,83,68
18,80,No,8,55,63
22,63,Yes,7,85,68
19,89,Yes,7,95,70
21,92,Yes,8,51,66
24,72,No,6,78,68
15,87,Yes,4,80,67
33,77,Yes,5,85,69
14,96,Yes,9,69,66
13,94,Yes,7,91,68
27,81,Yes,7,77,69
25,88,Yes,7,70,70
24,95,Yes,8,86,74
24,80,Yes,7,96,70
20,73,Yes,7,91,66
15,90,Yes,8,97,69
20,69,No,6,63,64
16,76,Yes,8,56,62
26,95,No,7,77,70
19,89,Yes,7,52,68
15,76,Yes,6,84,65
18,69,No,7,62,65
22,74,Yes,6,73,71
17,71,Yes,9,83,66
15,67,No,4,74,61
21,90,Yes,8,62,67
